Feature,Importance
wind_speed_m_s,0.3071269449187982
charge_weight_kg,0.11448840566700846
hole_depth_m,0.10332062461242489
dust_suppression_none,0.09272015175498628
dust_suppression_chemical,0.04547683359072953
rock_density_g_cm3,0.043873654076483776
humidity_percent,0.03654398548067919
spacing_m,0.03383599930618395
hole_diameter_mm,0.03373167804369354
wind_direction_deg,0.03336935487153941
temperature_c,0.03270598512141742
burden_m,0.03240618634082231
moisture_percent,0.031223226684659485
dust_suppression_water_spray,0.018638111654512873
explosive_type_ANFO,0.009464393117717277
rock_type_granite,0.009428402275155755
explosive_type_emulsion,0.00905641920917944
rock_type_limestone,0.008136440656733775
rock_type_sandstone,0.004453202617274477
